NEW TURN
Ship coord: fr.unice.polytech.si3.qgl.queleglitch.json.game.Ship@7514d1f3
fr.unice.polytech.si3.qgl.queleglitch.json.game.Ship@7514d1f3
Sail 39 | position x : 1 | position y : 0---
Sail 40 | position x : 5 | position y : 2---
Sail 41 | position x : 4 | position y : 2---
Sail 42 | position x : 2 | position y : 0---
Sail 43 | position x : 3 | position y : 2---
Sail 44 | position x : 2 | position y : 2---
Sail 45 | position x : 3 | position y : 0---
Sail 46 | position x : 5 | position y : 1---
Sail 47 | position x : 1 | position y : 2---
Sail 48 | position x : 4 | position y : 0---
Sail 49 | position x : 2 | position y : 1---
Sail 50 | position x : 2 | position y : 1---
Sail 51 | position x : 5 | position y : 0---
