NEW TURN
Ship coord: Bateau | orientation : 2.515416763512167 | x : 4687.1348624543425 | y : 2819.82873468409
Bateau | orientation : 2.515416763512167 | x : 4687.1348624543425 | y : 2819.82873468409
Marin 0 | position x : 3 | position y : 1---
Marin 1 | position x : 3 | position y : 1---
Marin 2 | position x : 3 | position y : 1---
Marin 3 | position x : 3 | position y : 1---
Marin 4 | position x : 3 | position y : 2---
Marin 5 | position x : 6 | position y : 1---
Marin 6 | position x : 5 | position y : 2---
Marin 7 | position x : 3 | position y : 1---
Marin 8 | position x : 1 | position y : 2---
Marin 9 | position x : 2 | position y : 2---
Marin 10 | position x : 3 | position y : 1---
Marin 11 | position x : 4 | position y : 2---
