NEW TURN
Ship coord: fr.unice.polytech.si3.qgl.queleglitch.json.game.Ship@6e432abf
fr.unice.polytech.si3.qgl.queleglitch.json.game.Ship@6e432abf
Sail 0 | position x : 0 | position y : 0---
Sail 1 | position x : 0 | position y : 1---
Sail 2 | position x : 0 | position y : 2---
Sail 3 | position x : 0 | position y : 3---
Sail 4 | position x : 0 | position y : 4---
Sail 5 | position x : 1 | position y : 0---
Sail 6 | position x : 1 | position y : 1---
Sail 7 | position x : 1 | position y : 2---
Sail 8 | position x : 1 | position y : 3---
Sail 9 | position x : 1 | position y : 4---
Sail 10 | position x : 2 | position y : 0---
Sail 11 | position x : 2 | position y : 1---
Sail 12 | position x : 2 | position y : 2---
Sail 13 | position x : 2 | position y : 3---
Sail 14 | position x : 2 | position y : 4---
Sail 15 | position x : 3 | position y : 0---
Sail 16 | position x : 3 | position y : 1---
Sail 17 | position x : 3 | position y : 2---
Sail 18 | position x : 3 | position y : 3---
Sail 19 | position x : 3 | position y : 4---
