2021-04-06 22:06:22 INFOS CheckpointObjective : New target: D=3072,94, ANGLE=-0,24°

2021-04-06 22:06:22 INFOS CheckpointObjective : New target: D=2931,52, ANGLE=-0,01°

2021-04-06 22:06:22 INFOS CheckpointObjective : New target: D=2790,09, ANGLE=-0,00°

2021-04-06 22:06:22 INFOS CheckpointObjective : New target: D=914,08, ANGLE=17,09°

2021-04-06 22:06:22 INFOS CheckpointObjective : New target: D=775,06, ANGLE=1,56°

2021-04-06 22:06:22 INFOS CheckpointObjective : New target: D=633,65, ANGLE=0,18°

2021-04-06 22:06:22 INFOS CheckpointObjective : New target: D=492,22, ANGLE=0,03°

2021-04-06 22:06:22 INFOS CheckpointObjective : New target: D=350,80, ANGLE=0,01°

2021-04-06 22:06:22 INFOS CheckpointObjective : New target: D=209,37, ANGLE=0,00°

2021-04-06 22:06:22 INFOS CheckpointObjective : New target: D=643,54, ANGLE=-16,68°

2021-04-06 22:06:22 INFOS CheckpointObjective : New target: D=504,55, ANGLE=-2,35°

2021-04-06 22:06:22 INFOS CheckpointObjective : New target: D=363,18, ANGLE=-0,46°

2021-04-06 22:06:22 INFOS CheckpointObjective : New target: D=221,75, ANGLE=-0,15°

2021-04-06 22:06:22 INFOS CheckpointObjective : New target: D=1305,23, ANGLE=-11,27°

2021-04-06 22:06:22 INFOS CheckpointObjective : New target: D=1164,81, ANGLE=-0,69°

2021-04-06 22:06:22 INFOS CheckpointObjective : New target: D=1023,39, ANGLE=-0,05°

2021-04-06 22:06:22 INFOS CheckpointObjective : New target: D=881,96, ANGLE=-0,00°

2021-04-06 22:06:22 INFOS CheckpointObjective : New target: D=740,53, ANGLE=-0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=599,10, ANGLE=-0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=457,68, ANGLE=-0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=316,25, ANGLE=-0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=174,82, ANGLE=-0,00°

2021-04-06 22:06:23 INFOS RegattaObjective : Checkpoint 0 reached

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=3597,21, ANGLE=8,77°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=3456,36, ANGLE=0,18°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=3314,93, ANGLE=0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=3173,50, ANGLE=0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=3032,07, ANGLE=0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=1201,57, ANGLE=-14,59°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=1061,84, ANGLE=-0,98°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=920,42, ANGLE=-0,08°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=778,99, ANGLE=-0,01°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=637,56, ANGLE=-0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=496,13, ANGLE=-0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=354,71, ANGLE=-0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=528,64, ANGLE=13,63°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=388,93, ANGLE=2,49°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=1674,11, ANGLE=8,77°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=1533,28, ANGLE=0,41°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=1391,85, ANGLE=0,02°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=1250,42, ANGLE=0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=1109,00, ANGLE=0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=967,57, ANGLE=0,00°

2021-04-06 22:06:23 INFOS RegattaObjective : Checkpoint 1 reached

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=3426,67, ANGLE=-0,53°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=3285,25, ANGLE=-0,01°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=3143,82, ANGLE=-0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=3002,39, ANGLE=-0,00°

